401.2,  -2.51347,  -2.53979,  -1.31241
401.3,  -2.50683,  -2.53285,  -1.30506
401.4,  -2.50021,  -2.52594,  -1.29773
401.5,  -2.49361,  -2.51906,  -1.29042
401.6,  -2.48703,  -2.51219,  -1.28313
401.7,  -2.48047,  -2.50535,  -1.27585
401.8,  -2.47394,  -2.49853,  -1.26859
401.9,  -2.46743,  -2.49173,  -1.26135
402.0,  -2.46093,  -2.48496,  -1.25414
402.1,  -2.45446,  -2.47820,  -1.24694
402.2,  -2.44801,  -2.47147,  -1.23975
402.3,  -2.44157,  -2.46475,  -1.23259
402.4,  -2.43516,  -2.45806,  -1.22545
402.5,  -2.42877,  -2.45139,  -1.21833
402.6,  -2.42239,  -2.44474,  -1.21122
402.7,  -2.41604,  -2.43810,  -1.20414
402.8,  -2.40970,  -2.43149,  -1.19707
402.9,  -2.40338,  -2.42490,  -1.19003
403.0,  -2.39708,  -2.41832,  -1.18301
403.1,  -2.39080,  -2.41177,  -1.17600
403.2,  -2.38453,  -2.40523,  -1.16902
403.3,  -2.37828,  -2.39871,  -1.16205
403.4,  -2.37205,  -2.39221,  -1.15511
403.5,  -2.36584,  -2.38573,  -1.14819
403.6,  -2.35964,  -2.37926,  -1.14129
403.7,  -2.35346,  -2.37282,  -1.13441
403.8,  -2.34729,  -2.36639,  -1.12755
403.9,  -2.34114,  -2.35997,  -1.12071
404.0,  -2.33501,  -2.35358,  -1.11389
404.1,  -2.32889,  -2.34719,  -1.10710
404.2,  -2.32279,  -2.34083,  -1.10032
404.3,  -2.31670,  -2.33448,  -1.09357
404.4,  -2.31062,  -2.32815,  -1.08684
404.5,  -2.30456,  -2.32183,  -1.08013
404.6,  -2.29851,  -2.31553,  -1.07344
404.7,  -2.29248,  -2.30924,  -1.06677
404.8,  -2.28646,  -2.30297,  -1.06013
404.9,  -2.28045,  -2.29671,  -1.05351
405.0,  -2.27446,  -2.29046,  -1.04691
405.1,  -2.26848,  -2.28423,  -1.04034
405.2,  -2.26251,  -2.27801,  -1.03378
405.3,  -2.25655,  -2.27181,  -1.02725
405.4,  -2.25061,  -2.26562,  -1.02074
405.5,  -2.24469,  -2.25945,  -1.01426
405.6,  -2.23877,  -2.25329,  -1.00780
405.7,  -2.23288,  -2.24715,  -1.00136
405.8,  -2.22700,  -2.24102,  -0.99494
405.9,  -2.22113,  -2.23491,  -0.98855
406.0,  -2.21528,  -2.22881,  -0.98218
406.1,  -2.20945,  -2.22273,  -0.97584
